"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2017","441.29","436.16","441.33","436.16","4.52M","1.33%"
"09/29/2017","435.50","433.89","435.50","433.23","5.72M","0.42%"
"09/28/2017","433.69","431.74","433.88","431.74","4.21M","0.68%"
"09/27/2017","430.76","427.85","430.95","427.85","4.79M","0.77%"
"09/26/2017","427.47","428.28","428.80","425.62","4.58M","-0.24%"
"09/25/2017","428.51","431.20","431.58","428.15","4.41M","-0.65%"
"09/22/2017","431.32","430.11","432.24","429.42","5.64M","0.31%"
"09/21/2017","429.98","432.60","433.05","429.52","4.45M","-0.45%"
"09/20/2017","431.94","434.58","435.13","431.84","4.80M","-0.67%"
"09/19/2017","434.84","433.66","435.64","433.60","4.69M","0.19%"
"09/18/2017","434.02","432.23","434.13","431.55","4.19M","0.83%"
"09/15/2017","430.43","429.25","431.09","428.10","10.92M","0.17%"
"09/14/2017","429.69","427.97","430.10","426.91","5.29M","0.16%"
"09/13/2017","429.01","427.85","429.01","426.75","4.92M","0.16%"
"09/12/2017","428.34","427.63","430.37","427.63","5.16M","0.23%"
"09/11/2017","427.35","422.95","427.67","422.95","5.53M","1.28%"
"09/08/2017","421.93","421.84","422.30","420.04","6.82M","-0.17%"
"09/07/2017","422.64","417.88","422.67","417.88","5.48M","1.47%"
"09/06/2017","416.51","414.33","417.65","412.08","6.46M","0.29%"
"09/05/2017","415.31","414.84","417.90","414.22","4.30M","0.21%"
"09/04/2017","414.45","416.72","416.72","414.43","4.12M","-0.92%"
"09/01/2017","418.29","415.60","419.85","415.60","7.32M","0.80%"
"08/31/2017","414.99","411.66","416.12","411.66","5.66M","1.06%"
"08/30/2017","410.64","410.25","411.62","408.99","3.82M","0.70%"
"08/29/2017","407.77","409.87","409.87","404.23","5.27M","-1.01%"
"08/28/2017","411.95","413.53","413.53","409.43","3.04M","-0.51%"
"08/25/2017","414.07","414.26","416.69","413.55","3.35M","0.03%"
"08/24/2017","413.95","417.12","417.47","413.95","3.64M","-0.61%"
"08/23/2017","416.49","417.69","419.28","416.08","3.66M","-0.25%"
"08/22/2017","417.54","413.11","417.72","413.11","4.42M","1.21%"
"08/21/2017","412.56","413.56","415.01","411.50","4.07M","-0.54%"
"08/18/2017","414.78","416.78","416.78","413.38","5.29M","-0.96%"
"08/17/2017","418.82","420.82","421.68","418.22","4.32M","-0.55%"
"08/16/2017","421.14","418.46","421.96","418.46","3.97M","0.75%"
"08/15/2017","418.00","417.25","418.91","416.43","3.36M","0.35%"
"08/14/2017","416.55","411.85","417.01","411.85","3.62M","1.51%"
"08/11/2017","410.37","413.51","413.51","407.98","5.28M","-1.06%"
"08/10/2017","414.76","418.97","419.24","414.18","5.12M","-1.02%"
